SampleID,Location,Pos 1,Pos 2,Pos 3,Pos 4,Pos 5,Pos 6,Pos 7,Pos 8,Pos 9,Pos 10,Pos 11,Pos 12,Pos 13,Pos 14,Pos 15,Pos 16,Pos 17,Pos 18,Pos 19,Pos 20,Pos 21,Pos 22,Pos 23,Pos 24,Lat,Long,SampleNumber,Year,Date
SenThies126.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 4.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 126.000000, 2006.000000, 732966.000000
SenThies009.2006,nodistrict, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 9.000000, 2006.000000, 732934.000000
SenThies134.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 134.000000, 2006.000000, 732966.000000
SenThies098.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 98.000000, 2006.000000, 732923.000000
SenThies080.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 80.000000, 2006.000000, 732922.000000
SenThies003.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 3.000000, 2006.000000, 732933.000000
SenThies004.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 4.000000, 2006.000000, 732933.000000
SenThies005.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 5.000000, 2006.000000, 732934.000000
SenThies006.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 6.000000, 2006.000000, 732934.000000
SenThies010.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 10.000000, 2006.000000, 732935.000000
SenThies015.2006,nodistrict, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 15.000000, 2006.000000, 732935.000000
SenThies016.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 16.000000, 2006.000000, 732935.000000
SenThies018.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 18.000000, 2006.000000, 732935.000000
SenThies020.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 20.000000, 2006.000000, 732936.000000
SenThies022.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 22.000000, 2006.000000, 732938.000000
SenThies023.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 23.000000, 2006.000000, 732938.000000
SenThies024.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 24.000000, 2006.000000, 732938.000000
SenThies025.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 4.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 25.000000, 2006.000000, 732938.000000
SenThies028.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 28.000000, 2006.000000, 732938.000000
SenThies029.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 29.000000, 2006.000000, 732938.000000
